vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5143.0,4143.0
vehicle_10002,2000.0,6283.0,4283.0
vehicle_10003,2000.0,4903.0,2903.0
vehicle_10004,2000.0,6304.0,4304.0
vehicle_10005,2000.0,6286.0,4286.0
vehicle_10006,2000.0,6936.0,4936.0
vehicle_10007,2000.0,6186.0,4186.0
vehicle_10008,2000.0,5413.0,3413.0
vehicle_10009,2000.0,9098.0,7098.0
vehicle_100010,2000.0,6865.0,4865.0
vehicle_100011,2000.0,6370.0,4370.0
vehicle_100012,2000.0,7125.0,5125.0
vehicle_100013,2000.0,7301.0,5301.0
vehicle_100014,2000.0,5949.0,3949.0
vehicle_100015,2000.0,9243.0,7243.0
vehicle_100016,2000.0,9619.0,7619.0
vehicle_100017,2000.0,6241.0,4241.0
vehicle_100018,2000.0,8795.0,6795.0
vehicle_100019,2000.0,8392.0,6392.0
vehicle_100020,2000.0,6169.0,4169.0
