vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5093.0,4093.0
vehicle_10002,2000.0,6435.0,4435.0
vehicle_10003,2000.0,4900.0,2900.0
vehicle_10004,2000.0,6435.0,4435.0
vehicle_10005,2000.0,6235.0,4235.0
vehicle_10006,2000.0,6996.0,4996.0
vehicle_10007,2000.0,6433.0,4433.0
vehicle_10008,2000.0,5404.0,3404.0
vehicle_10009,2000.0,8745.0,6745.0
vehicle_100010,2000.0,7008.0,5008.0
vehicle_100011,2000.0,6419.0,4419.0
vehicle_100012,2000.0,7169.0,5169.0
vehicle_100013,2000.0,6366.0,4366.0
vehicle_100014,2000.0,5900.0,3900.0
vehicle_100015,2000.0,9097.0,7097.0
vehicle_100016,2000.0,7847.0,5847.0
vehicle_100017,2000.0,6140.0,4140.0
vehicle_100018,2000.0,9335.0,7335.0
vehicle_100019,2000.0,5655.0,3655.0
vehicle_100020,2000.0,8240.0,6240.0
