vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5094.0,4094.0
vehicle_10002,2000.0,6392.0,4392.0
vehicle_10003,2000.0,5905.0,3905.0
vehicle_10004,2000.0,5996.0,3996.0
vehicle_10005,2000.0,6239.0,4239.0
vehicle_10006,2000.0,6947.0,4947.0
vehicle_10007,2000.0,6437.0,4437.0
vehicle_10008,2000.0,5406.0,3406.0
vehicle_10009,2000.0,8757.0,6757.0
vehicle_100010,2000.0,7009.0,5009.0
vehicle_100011,2000.0,6416.0,4416.0
vehicle_100012,2000.0,7385.0,5385.0
vehicle_100013,2000.0,6376.0,4376.0
vehicle_100014,2000.0,5704.0,3704.0
vehicle_100015,2000.0,9040.0,7040.0
vehicle_100016,2000.0,5344.0,3344.0
vehicle_100017,2000.0,8842.0,6842.0
vehicle_100018,2000.0,9145.0,7145.0
vehicle_100019,2000.0,8442.0,6442.0
vehicle_100020,2000.0,8235.0,6235.0
