vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5094.0,4094.0
vehicle_10002,2000.0,6342.0,4342.0
vehicle_10003,2000.0,5555.0,3555.0
vehicle_10004,2000.0,5947.0,3947.0
vehicle_10005,2000.0,6186.0,4186.0
vehicle_10006,2000.0,7037.0,5037.0
vehicle_10007,2000.0,7310.0,5310.0
vehicle_10008,2000.0,5409.0,3409.0
vehicle_10009,2000.0,9166.0,7166.0
vehicle_100010,2000.0,9467.0,7467.0
vehicle_100011,2000.0,6366.0,4366.0
vehicle_100012,2000.0,7880.0,5880.0
vehicle_100013,2000.0,7109.0,5109.0
vehicle_100014,2000.0,6338.0,4338.0
vehicle_100015,2000.0,9306.0,7306.0
vehicle_100016,2000.0,6179.0,4179.0
vehicle_100017,2000.0,6645.0,4645.0
vehicle_100018,2000.0,9899.0,7899.0
vehicle_100019,2000.0,5692.0,3692.0
vehicle_100020,2000.0,7907.0,5907.0
