vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5143.0,4143.0
vehicle_10002,2000.0,6291.0,4291.0
vehicle_10003,2000.0,4901.0,2901.0
vehicle_10004,2000.0,5900.0,3900.0
vehicle_10005,2000.0,6235.0,4235.0
vehicle_10006,2000.0,6992.0,4992.0
vehicle_10007,2000.0,6529.0,4529.0
vehicle_10008,2000.0,5452.0,3452.0
vehicle_10009,2000.0,9208.0,7208.0
vehicle_100010,2000.0,5177.0,3177.0
vehicle_100011,2000.0,6415.0,4415.0
vehicle_100012,2000.0,7025.0,5025.0
vehicle_100013,2000.0,6372.0,4372.0
vehicle_100014,2000.0,6045.0,4045.0
vehicle_100015,2000.0,8993.0,6993.0
vehicle_100016,2000.0,5925.0,3925.0
vehicle_100017,2000.0,6094.0,4094.0
vehicle_100018,2000.0,9300.0,7300.0
vehicle_100019,2000.0,6010.0,4010.0
vehicle_100020,2000.0,7897.0,5897.0
