vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5142.0,4142.0
vehicle_10002,2000.0,6435.0,4435.0
vehicle_10003,2000.0,4892.0,2892.0
vehicle_10004,2000.0,8884.0,6884.0
vehicle_10005,2000.0,6285.0,4285.0
vehicle_10006,2000.0,6991.0,4991.0
vehicle_10007,2000.0,6335.0,4335.0
vehicle_10008,2000.0,6304.0,4304.0
vehicle_10009,2000.0,8749.0,6749.0
vehicle_100010,2000.0,9475.0,7475.0
vehicle_100011,2000.0,7348.0,5348.0
vehicle_100012,2000.0,7126.0,5126.0
vehicle_100013,2000.0,7446.0,5446.0
vehicle_100014,2000.0,5901.0,3901.0
vehicle_100015,2000.0,11294.0,9294.0
vehicle_100016,2000.0,7751.0,5751.0
vehicle_100017,2000.0,6190.0,4190.0
vehicle_100018,2000.0,9691.0,7691.0
vehicle_100019,2000.0,5652.0,3652.0
vehicle_100020,2000.0,6520.0,4520.0
