vehicle_id,depart_time,arrival_time,trip_time
vehicle_10001,1000.0,5095.0,4095.0
vehicle_10002,2000.0,7185.0,5185.0
vehicle_10003,2000.0,4905.0,2905.0
vehicle_10004,2000.0,5897.0,3897.0
vehicle_10005,2000.0,6234.0,4234.0
vehicle_10006,2000.0,6975.0,4975.0
vehicle_10007,2000.0,6336.0,4336.0
vehicle_10008,2000.0,5403.0,3403.0
vehicle_10009,2000.0,9164.0,7164.0
vehicle_100010,2000.0,9375.0,7375.0
vehicle_100011,2000.0,8192.0,6192.0
vehicle_100012,2000.0,8449.0,6449.0
vehicle_100013,2000.0,7051.0,5051.0
vehicle_100014,2000.0,6094.0,4094.0
vehicle_100015,2000.0,8797.0,6797.0
vehicle_100016,2000.0,8780.0,6780.0
vehicle_100017,2000.0,7200.0,5200.0
vehicle_100018,2000.0,8903.0,6903.0
vehicle_100019,2000.0,6007.0,4007.0
vehicle_100020,2000.0,6416.0,4416.0
