timestamp,vehicle_id,route
0,vehicle_10001,-93 91 -57 55 107 138 -121 119
0,vehicle_10002,-73 -47 -21 -7 5 -10 14 93
0,vehicle_10003,-121 117 -80 78 -71 73
0,vehicle_10004,-73 -47 -21 -7 5 15 -12 14
0,vehicle_10005,-138 -107 -19 -7 5 17 41
0,vehicle_10006,-71 -47 -21 -7 5 -10 14 93 126 -132
0,vehicle_10007,-138 -107 -55 -9 5 17 41
0,vehicle_10008,-47 -21 -7 5 15 -12 14 93
0,vehicle_10009,-55 57 -91 93 126 -132
0,vehicle_100010,91 -57 55
0,vehicle_100011,131 -57 55 107 138 -121 119
0,vehicle_100012,-55 57 -91
0,vehicle_100013,131 -57 55 107 138 -121 119
0,vehicle_100014,-138 -107 -55 57 -91
0,vehicle_100015,-55 57 -91 93 126 -132
0,vehicle_100016,131 -57 55
0,vehicle_100017,-73 71 -50 48 -66 -41 -17 -5 9 57 -91
0,vehicle_100018,-19 -7 9 57 -91 93 126 -132
0,vehicle_100019,-47 -21 -7 5 15 -12 14 93
0,vehicle_100020,131 -57 55
300,vehicle_10001,-93 91 -57 55 107 138 -121 119
300,vehicle_10003,-138 -107 -55 -9 7 21 47 73
300,vehicle_10004,-73 71 -50 -21 -7 5 -10 14
300,vehicle_10005,-138 -107 -55 -9 5 17 41
300,vehicle_10006,-50 -21 -7 3 14 93 126 -132
300,vehicle_10007,-138 -107 -55 -9 5 17 41
300,vehicle_10008,71 -50 -21 -7 5 -10 14 93
300,vehicle_10009,-19 -7 9 57 -91 93 126 -132
300,vehicle_100010,93 126 -132 131 -57 55
300,vehicle_100011,131 -57 55 107 138 -121 119
300,vehicle_100012,-55 -9 5 15 -12 14
300,vehicle_100013,131 -57 55 107 138 -121 119
300,vehicle_100014,-138 -107 -55 57 -91
300,vehicle_100015,-55 -9 5 15 -12 14 93 126 -132
300,vehicle_100016,131 -57 55
300,vehicle_100018,-55 -9 3 14 93 126 -132
300,vehicle_100019,71 -50 -21 -7 5 -10 14 93
300,vehicle_100020,-99 91 -57 55
600,vehicle_10001,-93 91 -57 55 107 138 -121 119
