junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
56,0.0,0.09,1.04,3.89,6.67,9.46,13.02,15.74,14.09,14.96,17.49,16.76,11.01,10.69,9.57,11.84,10.3,8.12,7.59,7.54,7.15,8.85,9.03,7.74,6.38,5.71,5.31,5.36,5.62,5.9,5.74,5.39,5.51,5.64,5.25,3.55,1.59,0.67,0.63,0.67,0.76,0.83,0.6,0.09,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.93,1.45,3.1,7.38,11.84,15.67,12.99,13.88,11.26,15.95,17.55,12.92,14.77,8.96,3.57,1.26,0.81,0.3,0.02,0.02,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.64,2.6,3.98,4.61,5.79,10.91,13.15,13.2,9.12,9.75,9.06,6.55,6.46,5.51,7.88,7.52,4.09,1.41,0.23,1.62,2.62,1.82,1.59,0.67,0.57,0.43,0.0,0.3,1.01,0.27,0.3,0.71,0.85,0.48,0.02,0.5,0.25,0.0,0.0,0.0,0.0,0.67,0.86,0.04,0.04,0.62,0.73,0.15
81,0.0,0.0,0.18,0.57,2.49,2.59,3.52,6.7,7.16,4.59,4.87,6.91,3.97,4.36,5.7,5.07,4.16,1.77,0.2,0.0,0.14,0.0,0.13,0.0,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.47,1.07,0.77,2.86,3.43,2.39,2.89,5.09,5.19,6.43,4.71,2.13,0.68,0.27,0.04,0.02,0.02,0.06,0.0,0.02,0.04,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,1.61,2.98,1.23,1.09,2.05,2.13,1.17,1.34,2.43,3.28,1.48,3.94,3.15,3.44,2.28,3.42,2.12,1.54,1.31,1.61,2.78,1.87,1.1,1.44,0.84,0.79,1.89,0.19,0.48,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,2.1,2.61,3.5,4.55,7.19,9.35,10.91,12.53,14.15,11.98,9.03,8.46,7.96,7.31,4.2,4.71,4.02,2.07,3.17,3.27,2.15,1.53,2.37,1.78,0.97,2.17,1.33,0.9,1.0,0.37,0.0,0.22,0.67,0.29,0.0,0.18,0.52,0.43,0.7,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,3.51,10.89,16.27,15.5,16.56,20.21,25.64,26.87,25.58,23.14,20.28,13.02,15.76,22.78,15.31,5.46,6.28,9.92,13.06,15.45,12.31,11.45,11.82,7.38,4.56,4.48,2.78,0.8,1.52,1.95,1.57,0.53,0.6,1.62,1.49,0.47,0.0,0.0,0.0,0.24,1.0,0.85,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.23,0.14,0.35,1.09,3.93,3.86,2.54,3.01,1.21,0.68,0.02,0.35,1.31,1.63,0.0,0.0,0.3,1.52,1.15,0.47,0.0,0.22,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.05,1.24,1.0,0.67,0.41,2.11,0.54,0.37,0.15,0.25,0.96,1.14,0.98,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.48,1.69,0.69,0.49,0.75,1.68,4.46,2.17,7.0,4.47,0.92,0.04,0.06,0.07,0.0,0.02,0.06,0.05,0.07,0.0,0.02,0.04,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.13,0.3,0.97,0.78,1.2,1.62,1.66,2.56,0.64,1.99,3.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.61,1.38,2.67,5.5,9.94,9.24,6.44,5.96,8.17,9.93,9.51,5.63,6.28,6.51,5.48,4.16,4.41,5.01,4.39,4.39,3.25,1.86,1.49,2.21,2.55,2.29,1.35,1.26,1.42,0.69,0.85,1.15,0.83,1.25,0.79,1.08,1.76,1.38,0.8,1.02,0.62,0.51,0.32,0.0,0.0,0.0,0.0,0.0
140,0.0,1.55,3.15,4.84,4.18,1.6,0.27,2.72,4.08,4.32,5.13,4.3,1.6,3.21,2.98,2.91,4.15,3.52,2.18,1.61,5.19,3.69,2.7,3.82,1.7,2.85,1.38,4.2,1.23,1.32,1.96,1.63,2.26,1.56,1.71,3.1,1.21,0.12,0.45,0.54,0.0,0.41,0.8,0.62,0.6,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
