junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,9.24,24.96,39.96,60.599999999999994,91.08,121.08,141.0,136.92000000000002,137.28,149.16,170.76,144.96,120.60000000000001,119.88,108.24,82.08,83.03999999999999,75.72,66.36,66.84,63.239999999999995,59.88,64.32000000000001,69.24,63.96,63.36,57.84,59.16,55.199999999999996,43.68,35.28,27.48,18.0,11.399999999999999,6.0,4.199999999999999,5.28,3.4799999999999995,2.2800000000000002,2.7600000000000002,2.04,1.08,0.8400000000000001,0.24,0.0,0.0,0.12,0.8400000000000001
4.0,0.0,6.36,18.240000000000002,41.88,69.48,96.84,113.16,128.28,137.16,152.64000000000001,163.32,161.88,155.52,153.35999999999999,147.48,141.96,138.35999999999999,140.04,138.96,125.64000000000001,114.24,108.72,103.19999999999999,99.72,92.28,77.64,60.84,51.72,45.12,35.04,30.240000000000002,23.28,13.559999999999999,9.84,10.8,13.68,9.48,4.68,1.44,1.7999999999999998,1.56,0.24,0.0,0.48,0.96,1.08,1.08,0.96,0.6000000000000001
6.0,0.0,6.720000000000001,25.200000000000003,48.239999999999995,67.44,88.32000000000001,118.80000000000001,133.32,154.56,206.04000000000002,243.24,267.96,270.0,275.64,264.48,258.6,238.32,221.88,189.12,162.72,131.88,99.60000000000001,71.03999999999999,49.44,38.160000000000004,24.839999999999996,14.76,9.959999999999999,4.32,0.24,0.12,3.24,5.28,4.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,6.66,21.24,36.63,53.01,77.94,96.57000000000001,105.57000000000001,112.85999999999999,125.37,133.38,125.10000000000001,118.35000000000001,117.17999999999999,113.13,110.42999999999999,103.85999999999999,89.64000000000001,78.3,71.10000000000001,66.14999999999999,63.089999999999996,59.49,51.839999999999996,44.64,40.949999999999996,44.550000000000004,35.46,22.95,18.81,17.28,16.47,13.59,11.16,5.22,1.53,2.79,4.140000000000001,3.69,1.8,1.71,1.8,3.15,1.71,1.08,0.36,0.0,0.0,0.18
11.0,0.0,4.68,13.919999999999998,23.759999999999998,34.68,37.38,42.36,50.82000000000001,54.06,57.84,58.08,54.0,47.7,49.92,42.660000000000004,35.339999999999996,36.78,35.400000000000006,30.78,28.02,27.839999999999996,26.099999999999998,22.14,19.98,17.64,15.18,12.299999999999999,9.78,8.28,5.58,4.86,4.199999999999999,3.3600000000000003,2.94,3.66,2.82,1.44,0.8400000000000001,0.18,1.08,1.6800000000000002,0.78,0.36,0.18,0.0,0.0,0.0,0.0,0.0
13.0,0.0,7.800000000000001,17.849999999999998,23.55,33.300000000000004,32.85,27.0,29.4,38.55,47.1,54.75,50.550000000000004,40.35,35.85,37.65,33.75,19.35,18.45,22.65,16.95,13.65,10.35,11.55,14.399999999999999,16.200000000000003,12.9,15.600000000000001,11.25,6.1499999999999995,8.25,9.0,10.5,6.75,6.3,5.1000000000000005,3.3,1.05,1.05,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,9.24,22.32,26.880000000000003,33.599999999999994,51.480000000000004,69.72,87.6,94.56,111.84,120.24,127.44,136.8,127.08,123.84,121.08,117.24,118.92,115.68,101.16,94.08,80.03999999999999,68.64,48.480000000000004,41.400000000000006,42.0,42.839999999999996,43.68,40.32,37.44,32.64,30.599999999999998,28.08,23.04,11.64,6.0,7.199999999999999,9.959999999999999,7.800000000000001,2.88,1.92,1.08,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,2.34,8.549999999999999,14.94,26.28,43.02,53.73,60.75,69.3,77.58,83.07000000000001,93.87,85.77,70.38,57.15,56.160000000000004,53.910000000000004,41.22,36.9,44.19,41.4,34.29,21.599999999999998,20.07,14.040000000000001,11.16,6.03,5.13,2.97,5.040000000000001,4.2299999999999995,1.44,2.5200000000000005,4.41,3.2399999999999998,2.16,2.43,1.3499999999999999,1.89,1.8,0.9,0.0,0.09,0.6300000000000001,0.0,0.0,0.0,0.0,0.0
20.0,0.0,7.92,28.68,42.96,46.92,48.0,72.48,84.96000000000001,106.19999999999999,118.68,129.12,113.64000000000001,115.32,116.88,119.88,102.60000000000001,99.60000000000001,100.44,102.24,99.0,101.03999999999999,84.72,72.48,69.12,64.44,62.16,60.12,50.400000000000006,43.44,38.04,27.72,23.64,18.6,17.759999999999998,17.88,15.120000000000001,18.96,15.600000000000001,14.16,7.68,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,3.45,5.25,3.15,4.8,9.3,8.7,18.45,25.65,15.3,11.850000000000001,6.6,2.25,1.05,5.7,5.55,12.299999999999999,7.65,11.25,5.55,0.15,0.44999999999999996,0.8999999999999999,1.3499999999999999,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
