junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,8.040000000000001,28.56,46.44,74.52,88.19999999999999,122.88,136.44,134.28,137.52,139.56,134.39999999999998,132.96,123.84,118.80000000000001,108.47999999999999,91.80000000000001,80.52,74.28,69.48,68.28,71.64,76.56,68.03999999999999,64.67999999999999,53.88,52.56,53.28,46.92,33.72,22.799999999999997,19.56,12.120000000000001,5.88,5.5200000000000005,2.04,0.48,2.16,0.72,1.08,1.7999999999999998,1.08,2.04,3.0,2.64,1.08,0.12,0.0,0.0
4.0,0.0,5.5200000000000005,17.4,37.92,69.72,95.76,117.60000000000001,127.68,133.32,152.28,163.68,167.16,164.04,162.84,156.72,148.32,132.96,126.12,124.32,123.96000000000001,114.24,99.0,89.4,90.96000000000001,90.36,87.12,82.56,70.92,60.0,53.760000000000005,46.8,38.76,31.799999999999997,24.96,15.96,7.199999999999999,2.16,1.08,0.96,0.8400000000000001,0.8400000000000001,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,5.76,24.72,45.36,66.6,92.4,120.24,133.92000000000002,157.92000000000002,182.04,220.20000000000002,225.95999999999998,237.71999999999997,245.28000000000003,250.68,245.88,234.24,234.71999999999997,219.36,194.39999999999998,158.88,127.08,112.44,85.92,62.519999999999996,36.0,11.64,5.64,4.5600000000000005,2.7600000000000002,1.2000000000000002,1.08,0.24,0.72,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.12,1.08,0.96,0.72,0.0,0.0,0.0,0.0,0.0
8.0,0.0,5.8500000000000005,18.18,31.05,51.839999999999996,75.14999999999999,80.82000000000001,91.17,111.60000000000001,131.49,141.48000000000002,143.91,137.43,127.71,130.41,123.57000000000001,119.16,105.03,79.64999999999999,63.54,62.550000000000004,75.42,82.17,71.19,52.92,39.87,33.93,33.39,22.95,18.36,14.94,12.69,13.23,12.51,12.51,14.4,12.959999999999999,5.94,1.53,0.8099999999999999,0.27,0.0,0.0,0.09,0.8099999999999999,0.8099999999999999,0.6300000000000001,0.0,0.0
11.0,0.0,6.24,18.6,25.56,32.76,38.519999999999996,39.480000000000004,45.24,52.199999999999996,58.67999999999999,61.38,60.480000000000004,52.62,44.82,38.7,38.160000000000004,38.58,33.78,31.740000000000002,30.299999999999997,25.92,22.740000000000002,20.04,15.24,13.68,12.18,9.0,5.9399999999999995,2.64,1.5,2.58,2.82,3.0,3.42,3.4799999999999995,3.84,3.0,2.04,1.26,0.8400000000000001,0.8999999999999999,1.08,1.02,0.54,0.36,0.06,0.0,0.0,0.0
13.0,0.0,10.649999999999999,17.099999999999998,23.55,30.449999999999996,34.65,35.85,35.699999999999996,40.5,45.0,49.8,61.2,46.5,40.65,32.7,32.1,32.55,21.75,15.600000000000001,21.45,21.75,15.9,13.65,13.35,11.850000000000001,9.75,14.7,14.7,12.299999999999999,8.100000000000001,6.75,8.7,10.05,9.6,5.55,3.9000000000000004,1.5,5.55,6.6,3.0,1.2,1.3499999999999999,4.2,3.5999999999999996,0.0,0.0,0.0,0.0,0.0
16.0,0.0,6.24,12.48,23.88,39.599999999999994,51.84,70.32000000000001,84.0,104.76,110.39999999999999,119.03999999999999,129.96,138.24,119.28,109.56,97.92,98.64000000000001,104.16,98.64000000000001,89.03999999999999,87.72,77.64,77.88,70.44,51.96,33.36,33.24,35.519999999999996,34.8,32.519999999999996,27.96,25.68,20.28,16.56,13.080000000000002,12.96,19.080000000000002,15.0,7.800000000000001,2.7600000000000002,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,3.06,13.32,20.97,29.52,42.92999999999999,48.24,58.14,66.33,75.24,81.35999999999999,84.24,72.0,62.01,53.1,43.74,40.32000000000001,41.13,37.800000000000004,37.89,32.49,28.080000000000002,16.2,12.69,16.11,16.47,12.6,9.27,8.280000000000001,7.0200000000000005,4.95,2.88,2.88,2.0700000000000003,0.54,0.9,0.6300000000000001,0.99,1.89,1.17,0.54,0.72,0.72,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,15.600000000000001,29.28,34.56,40.8,59.760000000000005,76.44,85.80000000000001,98.88,115.08,121.92,122.39999999999999,125.28,117.72,107.03999999999999,96.35999999999999,93.36,88.19999999999999,86.88,81.72,78.96000000000001,80.28,80.52,67.80000000000001,60.599999999999994,53.04,41.160000000000004,37.2,28.44,22.44,22.919999999999998,24.839999999999996,24.0,21.84,24.0,21.84,13.799999999999999,8.16,5.04,2.4000000000000004,0.0,1.08,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,4.95,9.15,6.45,5.25,11.55,8.549999999999999,17.4,16.95,17.25,13.8,9.45,1.7999999999999998,1.05,9.0,16.35,11.25,6.0,8.85,2.6999999999999997,2.6999999999999997,0.15,0.0,0.15,0.0,0.75,0.0,0.15,0.15,0.15,0.15,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,24.9,81.15,127.35000000000001,172.5,149.4,177.89999999999998,220.95000000000002,223.20000000000002,276.90000000000003,291.75,269.25,252.14999999999998,283.5,284.7,286.05,304.5,280.65000000000003,237.0,214.04999999999998,183.6,139.35,113.85,55.5,35.85,8.549999999999999,6.6,14.399999999999999,14.25,11.25,23.85,23.25,12.299999999999999,5.1000000000000005,3.3,2.25,2.25,2.85,0.0,0.0,0.0,0.0,0.44999999999999996,5.1000000000000005,4.5,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.48,0.24,0.6000000000000001,0.8400000000000001,1.02,1.02,1.7399999999999998,0.96,1.26,0.66,0.48,0.6000000000000001,0.48,0.96,1.08,0.12,0.66,0.6000000000000001,0.96,0.48,0.78,0.48,0.42000000000000004,0.12,0.12,0.54,0.0,0.12,0.36,0.24,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0
46.0,0.0,0.09,1.89,2.16,10.62,9.36,16.919999999999998,11.16,3.15,35.19,72.17999999999999,138.96,164.52,167.13,179.82,154.62,76.14000000000001,12.330000000000002,3.15,1.3499999999999999,0.0,0.0,0.18,0.36,0.18,0.0,0.18,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,5.49,17.64,31.410000000000004,32.49,46.26,55.53,64.8,69.66,82.98,136.98000000000002,166.5,185.4,197.73,205.46999999999997,204.29999999999998,169.10999999999999,170.19,137.43,134.73000000000002,121.23,73.26,47.339999999999996,4.68,0.0,4.05,4.140000000000001,2.88,1.17,0.09,0.0,0.09,0.09,1.89,2.16,0.0,0.0,0.0,0.0,0.0,0.36,2.97,2.61,2.0700000000000003,0.0,0.0,0.0,0.0,0.0
56.0,0.0,2.0700000000000003,10.44,31.589999999999996,53.550000000000004,80.28,95.49,119.79,119.52,128.79,129.06,125.10000000000001,119.16,107.73,96.84,99.17999999999999,94.14000000000001,85.59,78.92999999999999,70.02,63.99,84.60000000000001,90.63,85.23,67.59,54.9,51.75,49.589999999999996,49.32000000000001,53.28,52.29,48.06,47.61,42.39,25.74,8.370000000000001,1.08,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,2.7,8.100000000000001,29.04,39.36,47.22,47.94,71.22,98.28,126.78,109.08,106.02000000000001,110.58,104.69999999999999,105.24,80.64,57.72,57.96,39.660000000000004,19.200000000000003,8.64,4.800000000000001,11.94,18.6,6.66,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,8.52,19.14,13.86,23.04,52.67999999999999,55.32000000000001,71.03999999999999,70.62,54.84,48.42,76.80000000000001,87.12,69.72,49.38,27.0,16.259999999999998,11.040000000000001,3.12,9.899999999999999,10.02,6.12,0.42000000000000004,0.0,0.0,0.12,0.0,3.66,6.24,3.06,3.84,1.8599999999999999,2.88,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,2.34,3.84,5.88,2.0999999999999996,0.0,0.0,1.6800000000000002,2.94,0.0,0.0
81.0,0.0,0.0,0.0,1.1099999999999999,5.07,5.37,5.07,10.11,13.620000000000001,9.57,19.32,12.75,14.52,7.709999999999999,5.88,13.23,9.36,14.97,14.64,13.86,9.0,0.81,0.0,0.51,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.75,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.48,6.84,15.96,28.56,44.88,28.799999999999997,24.119999999999997,12.24,36.599999999999994,96.84,51.480000000000004,21.96,15.96,4.32,0.0,2.04,0.24,3.7199999999999998,0.36,0.6000000000000001,2.7600000000000002,0.24,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.24,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,3.7199999999999998,10.2,6.18,9.120000000000001,15.48,13.98,24.119999999999997,21.54,27.119999999999997,19.32,22.86,7.26,11.22,18.419999999999998,25.380000000000003,22.44,15.96,7.02,8.58,0.0,0.0,15.48,3.12,13.32,16.259999999999998,11.16,18.6,5.699999999999999,0.0,3.0,1.62,4.26,0.42000000000000004,0.0,3.5999999999999996,5.699999999999999,0.78,3.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,0.0,14.31,35.64,41.22,51.839999999999996,82.44,85.85999999999999,80.10000000000001,99.45,122.04,116.82000000000001,102.14999999999999,69.92999999999999,65.78999999999999,62.550000000000004,52.92,51.21,39.24,27.27,31.589999999999996,25.650000000000002,24.75,22.410000000000004,10.53,11.07,20.07,15.209999999999999,17.099999999999998,7.83,5.58,14.4,13.14,4.86,2.97,0.18,2.5200000000000005,2.6999999999999997,0.0,0.0,0.0,0.8099999999999999,2.97,1.2600000000000002,0.0,0.0,0.0,0.0,0.0,0.0
98.0,0.0,18.0,46.71,81.81,148.68,180.99,168.66,155.16,188.82,250.02,233.82,233.1,226.98,180.09,141.21,133.38,124.10999999999999,126.17999999999999,108.09,70.38,61.02,93.06,109.89000000000001,64.25999999999999,10.799999999999999,13.14,46.800000000000004,81.09,81.45,54.17999999999999,9.36,0.0,0.0,0.0,0.0,6.93,9.0,2.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,0.0,0.0,0.0,0.8400000000000001,0.48,3.21,7.17,4.86,0.15000000000000002,1.5,17.61,23.91,20.4,20.94,3.84,0.9299999999999999,0.12,0.51,0.54,0.06,0.8699999999999999,0.8999999999999999,0.06,1.26,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,0.0,0.0,0.0,0.27,1.7999999999999998,5.04,6.48,7.529999999999999,5.37,3.66,0.81,3.4499999999999997,1.17,0.0,0.39,1.0499999999999998,3.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106.0,0.0,0.0,1.26,6.84,4.199999999999999,5.4,15.78,9.78,16.32,27.660000000000004,21.18,20.4,28.619999999999997,0.78,0.12,0.24,0.0,0.24,0.42000000000000004,0.36,0.24,0.0,0.24,0.24,0.12,0.24,0.36,0.12,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118.0,0.0,0.0,1.3800000000000001,1.77,1.26,3.54,8.129999999999999,1.29,1.53,1.41,2.7600000000000002,0.63,1.71,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,8.52,25.44,32.64,39.36,36.72,49.5,63.0,56.34,37.62,26.880000000000003,43.14,43.8,51.42,43.08,43.68,42.480000000000004,30.96,29.700000000000003,24.900000000000002,17.88,11.100000000000001,10.56,14.879999999999999,16.44,14.399999999999999,14.580000000000002,15.0,16.02,15.24,14.879999999999999,15.54,9.72,7.62,5.88,2.52,0.0,0.0,0.0,0.0,2.0999999999999996,3.06,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
140.0,0.0,6.720000000000001,8.43,17.73,6.8100000000000005,14.549999999999999,7.17,13.53,13.53,17.82,11.82,12.870000000000001,7.14,11.64,12.39,16.830000000000002,17.64,14.04,9.540000000000001,12.72,5.85,8.67,8.28,3.51,7.11,7.17,10.47,5.49,8.19,2.0999999999999996,7.800000000000001,11.94,5.37,10.14,4.74,1.3800000000000001,0.0,5.43,1.83,1.59,2.07,0.5700000000000001,4.41,4.71,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
