junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,7.199999999999999,28.200000000000003,51.96,67.19999999999999,78.48,110.88,128.16,147.72,147.84,142.07999999999998,158.16,154.07999999999998,119.52000000000001,101.39999999999999,100.92,87.12,78.12,73.67999999999999,63.12,63.599999999999994,63.0,73.56,75.84,66.6,57.96,48.0,36.839999999999996,25.68,13.799999999999999,10.92,5.28,1.56,3.7199999999999998,6.720000000000001,5.64,2.52,3.0,1.7999999999999998,1.32,0.8400000000000001,1.92,2.16,4.32,1.56,1.08,1.56,2.16,1.44
4.0,0.0,3.24,13.919999999999998,40.08,67.32000000000001,89.76,107.28,120.72,131.39999999999998,149.39999999999998,162.35999999999999,163.8,158.28,152.88,142.8,135.35999999999999,125.52000000000001,122.76,119.16,122.16,117.24,107.76,93.96000000000001,90.6,84.0,80.52,80.4,76.19999999999999,69.6,61.92,58.800000000000004,50.88,44.160000000000004,37.2,28.200000000000003,19.32,15.0,11.64,3.5999999999999996,1.6800000000000002,1.6800000000000002,1.2000000000000002,0.6000000000000001,1.08,0.72,0.24,0.0,0.0,0.0
6.0,0.0,6.36,22.080000000000002,44.76,60.84,79.92,112.08,136.2,153.60000000000002,184.2,218.64,239.39999999999998,244.44,231.84,223.56,218.76,211.79999999999998,199.32,187.56,158.88,135.84,111.84,85.44,72.36,69.36,57.480000000000004,45.599999999999994,32.160000000000004,8.16,4.199999999999999,4.32,1.7999999999999998,3.0,1.92,0.72,0.0,0.6000000000000001,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,11.07,24.12,44.64,63.9,69.92999999999999,88.38,106.64999999999999,122.58,136.62,150.48,147.51,141.48000000000002,142.65,148.14000000000001,141.84,135.45000000000002,124.56,107.01,89.73,81.54,76.14000000000001,78.57000000000001,70.2,54.54,45.0,40.410000000000004,35.64,31.410000000000004,22.77,22.5,16.2,13.77,14.040000000000001,13.86,14.13,13.86,13.14,12.78,9.09,2.97,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0.0,4.62,14.34,24.0,33.3,39.54,40.38,45.0,49.44,51.900000000000006,52.67999999999999,51.72,47.160000000000004,41.46,36.78,32.22,29.46,25.14,22.38,21.96,22.68,20.1,14.64,10.379999999999999,10.2,9.24,6.540000000000001,4.800000000000001,3.06,2.46,1.6800000000000002,2.2800000000000002,3.3000000000000003,2.2800000000000002,1.08,1.02,1.6800000000000002,1.2000000000000002,0.6000000000000001,1.3800000000000001,1.44,1.26,2.58,3.24,1.7399999999999998,1.02,0.8999999999999999,0.18,0.0
13.0,0.0,2.5500000000000003,14.25,24.0,24.0,30.449999999999996,38.4,43.650000000000006,37.5,50.4,48.6,49.8,36.0,33.15,37.65,28.349999999999998,23.700000000000003,23.55,18.75,14.399999999999999,20.1,21.9,11.850000000000001,11.25,10.5,11.4,10.05,10.95,9.15,6.9,4.35,8.4,12.75,10.799999999999999,9.6,8.100000000000001,6.1499999999999995,1.65,2.25,3.3,3.75,1.2,4.35,4.95,1.5,0.0,0.0,0.0,0.0
16.0,0.0,7.199999999999999,17.88,27.119999999999997,39.0,61.92,98.52000000000001,109.56,107.52000000000001,117.12,129.0,132.0,122.28,114.72,118.08,124.56,120.24,104.52000000000001,103.19999999999999,100.68,89.4,80.16,66.24,48.12,35.76,32.28,30.240000000000002,27.96,31.44,29.28,18.84,11.52,10.56,10.32,20.16,26.400000000000002,18.240000000000002,7.68,11.399999999999999,13.440000000000001,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,3.33,9.63,20.7,30.419999999999998,38.339999999999996,47.79,62.01,71.00999999999999,76.85999999999999,74.25,69.21000000000001,61.92,60.660000000000004,54.81,45.449999999999996,36.0,41.67,44.19,36.17999999999999,36.17999999999999,27.0,18.63,17.91,18.36,14.94,7.92,6.4799999999999995,7.11,7.83,7.0200000000000005,5.13,2.5200000000000005,1.53,0.9,0.8099999999999999,1.71,2.25,1.6199999999999999,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,10.32,32.04,37.32,56.04,64.80000000000001,72.96000000000001,92.03999999999999,99.0,117.96000000000001,123.84,123.0,121.68,117.24,113.52000000000001,106.19999999999999,103.08,96.96000000000001,99.60000000000001,99.24,84.12,77.16,73.32000000000001,67.67999999999999,52.199999999999996,43.44,37.56,28.68,22.56,18.0,18.0,18.72,17.16,13.440000000000001,6.720000000000001,3.4799999999999995,2.64,3.3600000000000003,3.3600000000000003,5.76,3.3600000000000003,0.24,2.16,0.6000000000000001,1.08,3.12,2.16,0.0,0.0
24.0,0.0,0.15,0.3,8.25,6.1499999999999995,12.9,23.400000000000002,16.05,16.650000000000002,13.5,17.849999999999998,16.5,3.5999999999999996,1.65,7.199999999999999,16.35,11.1,19.950000000000003,39.0,25.8,3.5999999999999996,1.3499999999999999,0.6,0.75,0.15,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.44999999999999996,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0
