junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,9.0,26.759999999999998,35.519999999999996,57.96,88.67999999999999,105.84,114.96000000000001,125.76,132.72,153.48,152.88,151.56,132.24,123.47999999999999,104.16,88.08,83.4,81.72,75.48,69.48,64.08,61.56,57.599999999999994,54.84,54.96,55.92,55.199999999999996,52.08,52.67999999999999,52.08,47.519999999999996,38.160000000000004,31.44,24.839999999999996,14.16,6.6000000000000005,2.52,2.16,2.4000000000000004,1.44,1.92,0.24,0.0,0.6000000000000001,1.7999999999999998,1.08,0.0,0.0
4.0,0.0,6.0,19.68,45.0,75.0,103.19999999999999,125.16,135.96,141.72,151.07999999999998,157.07999999999998,165.72,166.8,158.52,144.12,131.16,133.92000000000002,129.24,125.76,117.60000000000001,113.39999999999999,102.35999999999999,87.84,82.08,78.24,74.4,67.44,59.88,55.56,50.760000000000005,46.2,36.96,28.44,21.36,15.0,10.92,11.28,9.600000000000001,5.76,2.64,1.32,0.6000000000000001,0.6000000000000001,1.2000000000000002,0.72,0.8400000000000001,0.72,0.0,0.0
6.0,0.0,6.36,28.08,35.04,51.96,88.19999999999999,104.16,125.88,165.0,188.04,202.20000000000002,215.39999999999998,210.95999999999998,204.12,210.71999999999997,196.07999999999998,174.48,152.39999999999998,130.32,109.80000000000001,85.32000000000001,66.96000000000001,52.32000000000001,19.68,8.76,4.68,1.6800000000000002,1.6800000000000002,0.8400000000000001,0.0,1.2000000000000002,1.92,0.24,0.48,1.7999999999999998,1.44,0.24,0.24,1.08,0.6000000000000001,1.08,0.48,0.0,0.0,0.96,1.7999999999999998,0.12,0.0,0.0
8.0,0.0,8.01,21.330000000000002,37.62,51.75,70.11,90.89999999999999,99.89999999999999,119.16,130.76999999999998,156.24,155.25,148.59,146.79,135.99,138.96,132.93,122.67,107.73,96.84,95.22,86.76,75.78,70.2,55.89,38.88,29.160000000000004,23.849999999999998,17.73,17.009999999999998,14.580000000000002,13.41,14.49,13.950000000000001,12.51,12.78,9.0,3.15,0.8099999999999999,0.6300000000000001,0.0,0.0,0.6300000000000001,1.3499999999999999,0.99,0.45,1.08,1.6199999999999999,1.44
11.0,0.0,4.4399999999999995,12.48,20.700000000000003,30.72,38.94,43.56,53.099999999999994,58.56,56.760000000000005,59.46,54.599999999999994,51.42,48.96,46.68,43.08,40.26,36.599999999999994,33.18,33.18,31.14,28.740000000000002,25.68,22.5,21.54,18.78,14.940000000000001,12.48,8.7,6.720000000000001,3.9000000000000004,1.92,1.7999999999999998,1.7399999999999998,1.7999999999999998,2.94,3.3000000000000003,1.98,2.0999999999999996,2.46,1.7999999999999998,1.1400000000000001,0.66,0.30000000000000004,0.30000000000000004,0.18,0.0,0.0,0.0
13.0,0.0,5.25,18.9,30.900000000000002,25.349999999999998,26.25,42.45,46.2,48.75,50.85,50.4,46.2,32.400000000000006,25.349999999999998,23.25,24.45,26.4,20.400000000000002,24.599999999999998,23.55,17.849999999999998,16.5,14.549999999999999,14.85,13.950000000000001,10.95,11.55,5.55,6.6,5.55,3.75,5.25,7.35,1.3499999999999999,1.3499999999999999,1.2,5.25,6.3,4.35,2.5500000000000003,0.3,0.0,0.75,3.9000000000000004,1.5,0.0,0.15,1.3499999999999999,0.44999999999999996
16.0,0.0,3.24,13.559999999999999,22.080000000000002,36.36,51.36,76.32000000000001,95.64,95.52,99.12,114.24,121.80000000000001,117.0,118.19999999999999,114.60000000000001,107.28,105.0,98.39999999999999,89.16,77.64,70.92,55.67999999999999,42.24,32.76,32.28,28.32,31.799999999999997,31.200000000000003,25.44,27.240000000000002,27.72,23.04,18.240000000000002,17.04,20.64,19.919999999999998,12.72,8.16,7.92,9.36,10.68,11.28,9.72,5.4,1.2000000000000002,0.0,0.0,0.0,0.0
18.0,0.0,5.040000000000001,15.03,16.740000000000002,24.21,32.31,46.44,58.949999999999996,64.62,70.2,75.96,78.57000000000001,74.52,70.64999999999999,60.839999999999996,47.88,41.13,45.72,38.25,38.61,35.46,33.300000000000004,21.51,14.94,8.459999999999999,2.88,2.5200000000000005,5.22,5.040000000000001,4.140000000000001,3.6,4.5,1.53,0.9,0.54,0.9,1.6199999999999999,1.17,1.3499999999999999,1.44,2.16,3.5100000000000002,2.6999999999999997,2.0700000000000003,1.17,0.6300000000000001,0.0,0.0,0.0
20.0,0.0,9.36,23.64,42.480000000000004,71.28,72.0,80.64,89.4,102.96000000000001,123.47999999999999,129.84,114.60000000000001,100.44,91.56,91.92,93.36,78.12,88.92,78.36,69.48,68.4,69.6,68.64,62.16,55.32000000000001,42.599999999999994,31.44,23.16,17.04,16.200000000000003,15.96,16.919999999999998,17.759999999999998,17.52,17.4,17.52,19.799999999999997,24.599999999999998,25.200000000000003,14.52,10.08,5.76,0.48,0.0,0.48,1.2000000000000002,0.0,0.0,0.0
24.0,0.0,4.050000000000001,5.25,2.85,9.45,9.15,18.3,12.299999999999999,7.05,9.45,15.9,17.4,10.95,6.45,5.25,5.8500000000000005,5.3999999999999995,14.1,10.95,9.6,1.3499999999999999,4.65,1.5,0.15,0.0,2.25,0.0,0.0,0.3,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44999999999999996,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,26.1,72.0,100.05,151.5,155.39999999999998,179.4,245.55,251.25,285.59999999999997,316.65,317.1,329.54999999999995,338.85,327.0,305.55,278.09999999999997,210.45,147.6,108.3,67.2,40.65,60.89999999999999,64.05,46.800000000000004,29.25,23.400000000000002,24.150000000000002,14.549999999999999,21.299999999999997,7.5,0.0,0.0,7.800000000000001,12.45,6.0,3.75,0.0,0.0,0.0,0.0,3.5999999999999996,1.3499999999999999,0.0,0.0,3.0,1.9500000000000002,0.0,0.0
40.0,0.0,0.0,0.48,0.24,0.12,0.8999999999999999,0.6000000000000001,1.62,0.6000000000000001,0.6000000000000001,1.32,0.96,0.42000000000000004,0.78,0.72,0.6000000000000001,0.6000000000000001,0.24,0.36,0.6000000000000001,0.66,0.6000000000000001,0.6000000000000001,0.12,0.24,0.0,0.12,0.24,0.12,0.30000000000000004,0.06,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0
46.0,0.0,1.17,1.71,2.6999999999999997,4.95,17.189999999999998,12.69,9.540000000000001,20.61,28.89,23.849999999999998,17.099999999999998,32.31,56.42999999999999,30.51,7.2,1.89,1.08,0.54,2.61,0.0,0.18,0.0,0.36,0.0,0.0,0.18,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,2.6999999999999997,23.580000000000002,35.370000000000005,43.92,64.98,57.24,71.91,109.26,165.69,195.66,192.78000000000003,179.46,167.58,171.9,158.13,149.58,154.26,149.58,141.75,107.91,96.84,80.46,21.24,12.24,6.84,1.8,4.68,2.25,0.09,0.27,3.06,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.09,2.79,1.17,0.0,0.0,2.61,4.95,0.36,0.0,0.0
56.0,0.0,7.0200000000000005,14.669999999999998,33.39,62.28,103.32000000000001,111.78,118.26,117.99,135.81,162.9,144.45000000000002,127.98,101.34,75.78,76.59,89.55,85.32000000000001,78.92999999999999,78.57000000000001,91.89000000000001,80.64000000000001,78.57000000000001,76.95,61.47,50.76,56.25,53.64,54.0,51.660000000000004,53.910000000000004,55.53,53.550000000000004,51.75,52.83,52.199999999999996,56.42999999999999,49.86,29.160000000000004,8.82,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,7.08,12.36,18.78,22.98,41.22,51.900000000000006,86.4,83.22,65.52,55.56,66.84,83.1,88.80000000000001,73.08,53.099999999999994,17.700000000000003,13.440000000000001,2.7600000000000002,2.82,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,3.96,13.200000000000001,31.98,27.72,34.019999999999996,57.0,70.98,39.839999999999996,33.72,48.84,45.18,33.06,15.24,12.0,20.28,19.68,14.76,12.419999999999998,16.98,18.12,4.800000000000001,8.52,10.68,14.46,8.52,3.06,0.8400000000000001,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.6000000000000001,3.0,1.32,3.0,2.7600000000000002,5.46,3.12,3.0,1.2000000000000002,1.7999999999999998,2.94,0.0,0.0,0.0
81.0,0.0,0.0,0.36,3.75,8.55,2.61,2.64,9.84,10.47,5.67,8.7,12.27,16.14,11.850000000000001,9.69,15.48,18.78,9.69,2.58,5.34,3.51,2.4899999999999998,0.39,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,6.36,13.440000000000001,9.84,33.96,38.519999999999996,50.28,74.52,87.48,41.76,60.36,48.480000000000004,16.080000000000002,5.28,1.6800000000000002,1.56,2.7600000000000002,0.48,0.72,0.24,0.72,0.0,0.48,0.72,1.2000000000000002,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,10.2,3.7800000000000002,16.44,19.14,10.620000000000001,13.74,16.86,17.580000000000002,23.82,24.839999999999996,24.36,19.56,11.040000000000001,8.76,10.86,16.38,6.8999999999999995,2.58,0.0,16.919999999999998,12.299999999999999,11.58,8.82,0.0,0.0,0.0,4.62,0.06,8.459999999999999,0.8400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,1.08,2.82,1.8599999999999999,0.0,0.0
