junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,13.440000000000001,35.76,50.64,70.56,87.72,112.68,125.28,145.8,148.32,146.76,142.8,144.24,151.56,146.28,120.96000000000001,94.08,84.96000000000001,78.96000000000001,77.4,66.72,67.67999999999999,64.67999999999999,68.28,65.28,57.84,57.84,59.400000000000006,57.480000000000004,54.0,45.599999999999994,39.12,30.599999999999998,21.6,14.399999999999999,6.959999999999999,4.92,4.08,7.199999999999999,7.32,5.5200000000000005,7.92,6.6000000000000005,6.12,4.199999999999999,1.08,0.0,0.0,0.0
4.0,0.0,7.5600000000000005,20.64,42.599999999999994,75.0,102.24,118.68,121.80000000000001,129.72,141.84,155.88,165.35999999999999,161.16,147.12,148.44,145.56,153.84,165.12,165.84,159.96,146.64000000000001,134.04,117.84,105.72,91.67999999999999,75.84,64.56,55.44,47.400000000000006,42.36,36.599999999999994,31.200000000000003,25.92,17.64,13.200000000000001,13.080000000000002,9.600000000000001,4.68,1.44,1.6800000000000002,1.32,0.72,1.56,1.6800000000000002,1.56,0.72,0.36,0.0,0.0
6.0,0.0,10.92,23.64,34.2,53.28,83.52,110.28,131.04,164.88,198.71999999999997,227.39999999999998,243.95999999999998,241.92000000000002,229.68,227.39999999999998,228.84,224.52,194.64,170.52,153.0,131.16,102.0,79.67999999999999,52.32000000000001,40.32,30.599999999999998,23.759999999999998,19.56,12.24,4.68,2.7600000000000002,1.08,0.96,1.44,2.52,2.4000000000000004,3.96,2.16,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,3.2399999999999998,13.41,35.28,63.63,68.67,83.79,107.19,118.89000000000001,133.92000000000002,141.84,145.98,146.25,131.22,125.28,121.5,107.19,77.31,63.72,61.74,64.35000000000001,63.81,55.89,54.36,58.77,62.550000000000004,54.449999999999996,30.150000000000002,17.28,17.55,16.38,16.47,17.189999999999998,16.560000000000002,15.12,7.290000000000001,3.06,1.71,1.89,4.59,4.95,3.78,2.16,3.78,3.33,2.97,1.71,0.6300000000000001,0.0
11.0,0.0,4.74,13.98,25.14,34.68,39.18,36.839999999999996,41.94,47.76,57.239999999999995,62.16,64.32000000000001,54.480000000000004,43.2,37.62,32.64,33.900000000000006,32.519999999999996,30.96,30.240000000000002,28.02,23.88,20.46,18.299999999999997,15.299999999999999,11.879999999999999,8.76,7.92,7.14,6.48,4.74,2.7,1.92,1.6800000000000002,2.58,2.46,1.32,1.26,1.5,1.1400000000000001,0.8999999999999999,1.1400000000000001,1.02,0.6000000000000001,0.54,0.96,0.72,0.18,0.0
13.0,0.0,11.25,21.0,19.5,23.85,32.400000000000006,48.9,48.0,43.199999999999996,42.45,50.099999999999994,45.449999999999996,38.4,40.65,41.25,31.8,22.2,20.25,21.9,21.0,16.5,12.9,14.85,15.0,17.7,13.5,11.55,9.3,11.1,8.549999999999999,13.5,15.15,9.45,7.35,4.35,4.8,5.25,4.5,7.05,9.9,4.35,1.5,1.5,2.85,2.4,0.44999999999999996,0.0,0.0,0.0
16.0,0.0,6.12,11.64,16.799999999999997,28.44,46.32,64.44,89.52,93.96000000000001,100.92,110.03999999999999,120.35999999999999,118.19999999999999,116.16,105.60000000000001,105.35999999999999,83.52,71.03999999999999,79.19999999999999,83.4,82.80000000000001,81.84,78.48,69.36,60.239999999999995,40.08,31.200000000000003,31.56,38.400000000000006,34.92,36.24,31.32,26.880000000000003,28.799999999999997,27.96,16.68,7.5600000000000005,6.12,6.84,6.36,6.36,5.16,3.24,0.72,0.0,0.0,0.0,0.0,0.0
18.0,0.0,3.06,13.950000000000001,19.62,31.5,42.300000000000004,45.17999999999999,55.26,60.300000000000004,70.64999999999999,78.12,74.42999999999999,65.25,54.17999999999999,47.61,47.25,56.52,59.04,56.79,45.54,32.129999999999995,25.38,21.419999999999998,20.43,19.44,17.73,11.34,6.12,2.97,3.42,4.05,4.7700000000000005,1.89,2.79,3.06,1.98,2.25,2.43,2.16,2.34,1.98,0.27,0.6300000000000001,0.72,0.0,0.0,0.0,0.0,0.0
20.0,0.0,4.800000000000001,31.08,46.32,46.44,61.44,77.16,95.64,103.92,114.12,133.56,119.76,115.44,121.19999999999999,124.80000000000001,127.19999999999999,121.92,134.76,135.96,133.07999999999998,132.12,119.76,103.19999999999999,93.84,88.44,90.24,84.12,72.12,64.08,56.519999999999996,44.64,34.2,28.799999999999997,23.16,19.799999999999997,17.28,15.600000000000001,17.52,14.879999999999999,8.879999999999999,2.7600000000000002,1.2000000000000002,0.36,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,2.5500000000000003,7.05,7.35,5.55,11.55,15.0,11.4,7.65,14.7,20.1,18.45,8.4,1.5,1.3499999999999999,5.7,4.8,14.25,19.2,6.6,4.65,1.9500000000000002,3.5999999999999996,0.75,0.15,0.15,0.0,0.0,0.0,0.3,0.0,0.15,0.15,0.15,0.0,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
