junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,10.32,31.799999999999997,44.76,61.92,92.76,135.84,152.04,156.24,150.60000000000002,157.2,171.96,179.16,177.60000000000002,171.96,149.64000000000001,121.32,101.03999999999999,84.48,74.52,68.88,69.48,69.84,69.0,68.4,64.67999999999999,64.80000000000001,57.480000000000004,51.72,47.400000000000006,48.84,38.88,31.200000000000003,25.92,16.44,9.72,5.5200000000000005,4.68,5.88,3.7199999999999998,3.96,3.96,3.3600000000000003,1.92,1.08,1.2000000000000002,1.08,1.32,0.12
4.0,0.0,4.32,14.52,36.24,70.19999999999999,95.64,114.0,123.72,138.96,146.64000000000001,164.52,168.35999999999999,167.52,166.07999999999998,160.92000000000002,149.39999999999998,154.07999999999998,151.32,135.84,115.56,101.16,88.44,82.80000000000001,71.88,62.28,53.16,47.88,44.400000000000006,39.480000000000004,31.92,25.92,19.32,15.0,10.68,10.8,11.28,10.2,6.959999999999999,3.0,3.12,2.7600000000000002,1.92,2.16,1.2000000000000002,0.0,0.24,0.6000000000000001,0.36,0.0
6.0,0.0,5.4,17.64,38.76,66.12,95.4,119.28,140.16,157.68,186.48,215.88,230.64,226.92000000000002,227.04000000000002,216.24,210.36,187.8,174.12,162.96,141.84,114.0,84.36,67.19999999999999,59.16,49.56,38.400000000000006,30.0,21.48,12.96,6.12,2.52,2.2800000000000002,1.6800000000000002,1.2000000000000002,2.04,1.44,1.6800000000000002,1.08,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,10.62,28.349999999999998,43.83,54.449999999999996,62.46,77.13,100.17,125.64000000000001,131.67000000000002,127.44,127.26,125.82000000000001,135.18,134.46,130.59,118.44,90.63,73.26,80.55,83.97,82.71,72.0,55.71,43.65,37.17,32.85,25.47,18.089999999999996,16.830000000000002,16.29,17.28,17.37,13.049999999999999,6.209999999999999,3.06,2.88,2.25,2.6999999999999997,3.96,3.87,1.98,0.36,0.0,0.0,0.0,0.0,0.0,0.72
11.0,0.0,3.42,13.74,26.94,36.480000000000004,42.06,43.26,51.06,56.16,58.56,62.699999999999996,59.519999999999996,50.760000000000005,44.88,40.08,37.68,36.78,37.44,38.160000000000004,34.8,31.619999999999997,30.18,27.54,23.1,19.080000000000002,15.72,12.96,11.28,9.06,7.92,5.9399999999999995,4.86,3.24,1.98,2.58,3.06,2.94,2.46,1.3800000000000001,0.8999999999999999,1.6800000000000002,1.62,0.96,0.66,0.18,0.42000000000000004,0.42000000000000004,0.0,0.0
13.0,0.0,10.95,23.1,25.95,40.95,39.900000000000006,31.65,42.3,44.1,49.95,57.9,43.8,44.85,35.4,28.799999999999997,27.900000000000002,28.05,27.450000000000003,21.45,16.35,20.849999999999998,21.15,16.200000000000003,13.5,14.7,11.1,10.05,13.2,9.15,8.100000000000001,8.85,5.55,3.75,4.050000000000001,7.05,5.8500000000000005,9.75,8.100000000000001,4.2,2.25,0.15,1.9500000000000002,1.65,1.05,3.75,2.25,0.8999999999999999,0.0,0.0
16.0,0.0,6.84,18.36,21.48,27.599999999999998,39.36,59.88,81.84,96.0,103.08,109.32,114.0,109.32,105.12,101.16,99.0,95.64,93.0,100.80000000000001,95.03999999999999,76.56,65.52,46.8,34.8,33.839999999999996,42.96,41.64,36.12,32.88,37.32,31.92,26.52,20.52,15.48,12.24,11.399999999999999,9.600000000000001,8.040000000000001,6.12,4.68,4.5600000000000005,5.4,4.08,1.08,0.0,0.0,0.0,0.0,0.0
18.0,0.0,3.33,13.77,19.62,24.93,29.61,41.67,53.550000000000004,64.08,72.0,75.87,72.54,75.14999999999999,69.03,55.26,44.46,40.77,36.449999999999996,30.96,32.129999999999995,25.29,20.339999999999996,22.410000000000004,15.84,8.64,6.03,4.05,5.3999999999999995,5.3999999999999995,5.3999999999999995,5.67,3.69,3.5100000000000002,6.03,3.87,1.2600000000000002,1.17,2.6999999999999997,2.61,1.17,1.98,0.0,0.6300000000000001,0.8099999999999999,0.72,0.6300000000000001,0.0,0.0,0.0
20.0,0.0,5.76,24.240000000000002,39.599999999999994,55.92,77.52,89.28,99.35999999999999,110.76,114.24,127.56,132.0,116.28,106.92,101.52000000000001,103.32,102.0,102.35999999999999,111.0,113.16,101.52000000000001,102.24,101.16,90.48,76.08,76.08,69.0,59.16,51.36,46.92,35.04,25.200000000000003,18.0,17.52,17.759999999999998,22.200000000000003,15.36,17.28,15.96,11.040000000000001,4.5600000000000005,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,2.1,5.1000000000000005,6.9,11.700000000000001,14.549999999999999,15.600000000000001,11.55,13.65,16.5,12.299999999999999,13.950000000000001,0.44999999999999996,1.65,0.8999999999999999,4.5,7.5,4.8,5.55,9.15,1.5,1.9500000000000002,2.6999999999999997,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.66,0.0,0.0,0.0,0.0,0.54,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,36.6,95.7,93.0,139.5,190.8,192.6,190.5,232.79999999999998,235.8,210.75,245.1,261.45,247.65000000000003,262.95000000000005,226.05,174.60000000000002,141.45,125.54999999999998,77.69999999999999,59.4,63.15,34.199999999999996,33.45,40.95,20.400000000000002,19.950000000000003,20.849999999999998,5.8500000000000005,5.55,12.0,4.35,10.05,7.5,9.75,3.0,8.25,7.199999999999999,8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.75
40.0,0.0,0.0,0.24,0.12,0.36,0.96,0.72,1.08,0.66,0.72,0.36,0.96,0.48,0.6000000000000001,0.72,0.36,0.12,0.24,0.66,0.24,0.72,0.78,0.36,0.6000000000000001,0.24,0.36,0.36,0.12,0.0,0.12,0.24,0.12,0.24,0.12,0.24,0.12,0.12,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
46.0,0.0,2.6999999999999997,2.61,2.0700000000000003,4.2299999999999995,4.5,12.06,17.55,9.540000000000001,20.07,114.3,178.38,173.96999999999997,172.53000000000003,146.79,122.76,98.37,84.42,41.22,1.53,1.71,1.3499999999999999,0.18,0.18,0.0,0.18,0.0,0.18,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,8.19,16.919999999999998,32.49,40.589999999999996,42.839999999999996,39.15,54.449999999999996,67.5,110.60999999999999,164.88,191.60999999999999,194.76,205.92,195.21,174.24,126.72,108.63,93.87,68.39999999999999,36.54,6.75,0.09,0.09,0.0,0.0,0.09,0.0,0.09,0.0,0.9,3.87,3.33,0.18,0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,0.0,4.140000000000001,11.88,30.96,80.46,111.33,116.64000000000001,127.53,123.57000000000001,122.76,123.03,132.12,115.74,114.03,118.26,90.63,84.33,67.32000000000001,64.8,72.09,80.01,82.08,76.77,63.17999999999999,55.08,50.31,51.48,49.23,46.89,45.17999999999999,49.32000000000001,53.73,51.75,50.4,50.13,54.9,44.73,23.76,4.32,5.58,6.03,5.58,2.97,2.34,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,1.44,7.02,15.36,18.12,24.299999999999997,26.82,48.0,40.32,57.300000000000004,95.16,97.62,96.96000000000001,73.14,56.82000000000001,34.26,22.02,22.02,13.200000000000001,9.600000000000001,4.0200000000000005,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,7.4399999999999995,27.06,38.88,46.92,51.17999999999999,56.760000000000005,61.08,68.22,87.0,94.92,98.58,95.1,80.34,60.54,39.599999999999994,24.54,6.0,9.0,4.199999999999999,5.64,2.04,0.0,2.88,3.18,3.0,0.24,0.0,1.6800000000000002,3.06,0.06,0.0,0.0,0.6000000000000001,4.62,4.14,0.06,0.0,1.32,3.0,0.30000000000000004,0.0,4.14,5.16,0.06,0.0,0.0,0.0
81.0,0.0,0.0,0.30000000000000004,5.22,7.6499999999999995,3.3000000000000003,3.57,6.93,4.949999999999999,18.419999999999998,10.649999999999999,18.39,17.4,9.84,13.559999999999999,12.54,18.450000000000003,21.75,10.68,5.7299999999999995,6.57,5.58,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,2.16,11.879999999999999,13.68,36.12,21.240000000000002,42.480000000000004,15.72,45.96,56.519999999999996,39.480000000000004,34.8,37.8,4.92,3.12,3.4799999999999995,3.24,0.72,0.72,0.0,0.24,0.24,0.0,0.48,0.24,0.48,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,0.0,4.08,6.6000000000000005,16.44,9.3,12.24,12.24,17.94,27.36,21.84,26.22,25.44,16.44,21.72,26.82,20.64,1.7399999999999998,7.5,9.36,10.8,12.120000000000001,11.399999999999999,0.48,5.4,10.379999999999999,2.52,4.5,0.18,1.5,7.08,0.72,0.0,2.34,10.08,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
