junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2.0,0.0,9.48,21.36,35.400000000000006,56.28,83.76,124.08,147.12,159.24,158.04,160.2,166.44,161.16,152.28,140.64000000000001,126.96000000000001,103.32,89.16,85.32000000000001,81.84,80.4,68.76,65.76,69.24,70.80000000000001,67.32000000000001,60.72,56.28,52.44,53.760000000000005,57.72,45.72,36.72,28.08,22.68,17.04,7.92,3.24,5.88,6.48,5.4,2.2800000000000002,2.16,1.7999999999999998,2.04,1.08,0.0,0.0,0.0
4.0,0.0,5.16,17.88,36.480000000000004,62.04,90.6,109.08,119.64000000000001,133.32,143.52,153.96,158.39999999999998,147.12,135.35999999999999,126.35999999999999,121.08,119.76,116.52000000000001,115.92,103.92,89.4,84.24,84.24,83.64,80.4,74.76,63.12,57.36,49.92,44.400000000000006,39.0,34.08,28.32,22.799999999999997,16.44,12.72,12.24,9.0,5.76,2.52,1.44,0.0,0.6000000000000001,1.92,1.56,0.12,0.0,0.0,0.0
6.0,0.0,7.08,24.48,46.08,66.72,95.28,120.72,151.07999999999998,180.12,219.71999999999997,228.36,245.04000000000002,264.12,270.96,261.36,249.36,235.32,214.56,204.71999999999997,198.71999999999997,169.2,145.56,111.0,76.44,57.480000000000004,51.96,42.0,30.839999999999996,25.799999999999997,16.56,7.08,1.6800000000000002,0.96,0.8400000000000001,2.2800000000000002,1.44,0.36,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.8400000000000001,0.6000000000000001,0.0,0.0
8.0,0.0,7.47,22.23,33.480000000000004,49.5,63.72,77.58,90.45,113.13,137.16,138.96,124.2,131.85,123.57000000000001,114.39000000000001,111.87,100.35000000000001,91.89000000000001,79.29,70.2,66.42,69.03,59.85,51.57000000000001,45.27,40.77,30.96,20.97,19.169999999999998,16.29,13.77,15.57,19.349999999999998,18.72,14.49,12.87,9.63,4.86,5.76,4.140000000000001,2.25,2.16,1.98,1.71,1.53,1.44,1.3499999999999999,0.8099999999999999,0.0
11.0,0.0,4.800000000000001,15.899999999999999,27.72,36.3,42.0,47.94,47.76,55.56,57.72,61.86,61.56,57.239999999999995,50.400000000000006,49.38,47.46,43.68,41.339999999999996,37.62,33.18,30.78,31.619999999999997,30.839999999999996,26.52,22.32,18.9,16.62,13.620000000000001,11.100000000000001,7.74,4.26,3.3000000000000003,2.7600000000000002,2.34,2.82,2.34,2.7600000000000002,2.88,1.92,1.7399999999999998,2.2800000000000002,2.2199999999999998,1.6800000000000002,0.72,0.24,0.0,0.0,0.0,0.0
13.0,0.0,6.6,23.85,27.450000000000003,33.9,46.05,41.85,41.699999999999996,38.55,44.7,50.550000000000004,51.150000000000006,34.8,43.650000000000006,33.15,24.9,28.5,25.2,13.2,14.85,12.75,11.25,15.600000000000001,15.75,11.700000000000001,7.800000000000001,9.9,13.05,14.1,12.15,13.2,10.05,10.35,9.0,9.15,7.65,6.9,5.1000000000000005,3.15,0.8999999999999999,3.3,4.95,4.5,2.1,0.0,1.05,2.25,0.75,0.0
16.0,0.0,3.84,14.28,26.759999999999998,40.8,50.16,69.12,91.67999999999999,113.39999999999999,120.72,123.47999999999999,120.84,118.19999999999999,123.84,128.16,131.88,136.07999999999998,126.0,102.96000000000001,100.56,89.88,75.72,63.36,53.16,44.88,38.160000000000004,38.519999999999996,34.44,31.32,30.240000000000002,28.44,29.160000000000004,33.480000000000004,32.160000000000004,26.759999999999998,19.32,12.96,7.800000000000001,5.4,5.64,5.88,6.48,5.28,3.3600000000000003,0.36,0.0,0.0,0.0,0.0
18.0,0.0,3.15,12.6,24.3,29.339999999999996,37.62,44.37,53.550000000000004,65.97,82.08,81.54,78.48,66.24000000000001,62.550000000000004,66.06,51.21,38.61,38.88,41.22,35.46,32.49,28.349999999999998,23.04,19.169999999999998,14.580000000000002,17.46,11.16,5.58,4.32,6.03,6.93,7.290000000000001,4.7700000000000005,5.13,1.89,2.97,2.16,2.97,0.8099999999999999,0.45,0.8099999999999999,1.98,1.3499999999999999,0.72,0.18,0.0,0.0,0.0,0.0
20.0,0.0,12.24,32.04,47.76,69.84,81.12,80.52,80.64,84.36,92.03999999999999,97.80000000000001,101.16,108.84,113.16,111.47999999999999,114.60000000000001,114.24,110.28,98.16,96.24,99.24,98.28,89.76,81.84,72.0,66.24,62.28,55.32000000000001,52.199999999999996,50.400000000000006,49.67999999999999,45.0,31.44,21.6,24.839999999999996,22.080000000000002,18.48,17.16,15.72,17.16,10.2,2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,4.2,6.6,6.3,14.25,19.8,20.7,19.650000000000002,11.4,8.549999999999999,1.2,12.0,7.800000000000001,12.6,14.85,2.85,0.8999999999999999,1.2,0.3,3.0,0.0,1.9500000000000002,0.6,0.6,0.0,0.15,0.15,0.3,0.15,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,4.11,3.75,0.0,0.0,0.0,0.0,0.12,3.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,34.199999999999996,72.9,120.9,163.95,177.3,189.75,217.35,246.3,260.25,247.34999999999997,293.85,233.1,246.15,275.55,239.85,227.55,187.5,144.0,138.0,112.8,81.9,75.75,47.7,28.5,18.6,17.549999999999997,19.05,16.95,5.7,22.35,8.7,0.8999999999999999,4.050000000000001,5.7,6.6,7.5,1.5,3.45,0.0,4.95,1.9500000000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.36,0.24,0.36,0.96,0.96,0.6000000000000001,0.6000000000000001,0.24,0.8400000000000001,2.04,0.6000000000000001,0.8400000000000001,1.08,0.36,0.24,0.36,0.36,0.72,0.6000000000000001,1.08,0.6000000000000001,0.24,0.24,0.48,0.0,0.0,0.12,0.12,0.24,0.0,0.12,0.0,0.24,0.24,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,0.0,1.17,1.3499999999999999,0.6300000000000001,7.74,12.51,24.48,29.88,27.45,41.31,151.56,210.69,246.33,261.71999999999997,240.48,242.19,211.04999999999998,152.37,95.94,70.56,30.419999999999998,0.0,0.18,0.18,0.18,0.18,1.3499999999999999,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,8.19,28.62,40.410000000000004,43.65,58.589999999999996,62.46,54.089999999999996,79.83,114.75,154.17,186.03000000000003,191.88,197.19,189.99,172.98,162.71999999999997,163.53000000000003,136.53,125.37,94.95,69.21000000000001,44.46,24.03,9.63,14.94,7.11,1.71,5.040000000000001,1.53,0.09,0.0,0.0,0.9,3.06,2.97,1.17,0.0,0.09,0.0,0.09,0.0,0.0,0.09,0.0,2.16,1.8,0.0,0.0
56.0,0.0,9.18,22.5,40.14,63.63,88.56,103.85999999999999,128.16,129.42000000000002,125.10000000000001,124.74,124.29,130.85999999999999,114.03,113.58,114.12,80.82000000000001,68.39999999999999,68.22,81.63,87.03,78.03,66.87,61.29,55.44,51.12,46.98,46.17,47.339999999999996,48.24,49.14,53.19,56.160000000000004,54.17999999999999,50.13,46.71,45.17999999999999,33.839999999999996,18.81,3.96,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.12,0.30000000000000004,4.9799999999999995,21.84,26.22,47.64,71.03999999999999,84.36,88.67999999999999,113.34,125.69999999999999,126.53999999999999,128.46,100.74,67.14,31.14,24.06,23.82,13.74,14.100000000000001,12.36,5.28,0.36,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,4.74,8.399999999999999,23.52,28.5,51.239999999999995,75.72,99.84,104.03999999999999,99.47999999999999,114.35999999999999,113.94,97.38,89.03999999999999,70.02,58.32000000000001,27.660000000000004,16.919999999999998,9.42,10.86,9.84,16.259999999999998,15.66,12.72,11.22,4.74,3.54,5.22,3.5999999999999996,8.16,2.88,2.7600000000000002,5.76,0.8400000000000001,0.0,2.7,5.4,5.699999999999999,3.4799999999999995,2.34,3.0,0.72,0.0,1.56,5.64,2.16,0.0,0.0,0.0
